Ticker,Column,RMSE
AAPL,Close,19.3115
AAPL,High,19.1956
AAPL,Low,18.7624
AAPL,Open,17.4798
AAPL,Volume,25074591.3697
MSFT,Close,19.4379
MSFT,High,18.5558
MSFT,Low,17.899
MSFT,Open,14.9054
MSFT,Volume,9166430.9538
GOOG,Close,10.1299
GOOG,High,10.817
GOOG,Low,9.6853
GOOG,Open,10.0273
GOOG,Volume,9798524.8192
TCS.NS,Close,196.3365
TCS.NS,High,196.575
TCS.NS,Low,177.5977
TCS.NS,Open,163.651
TCS.NS,Volume,853837.9394
TATAMOTORS.NS,Close,30.4001
TATAMOTORS.NS,High,24.4108
TATAMOTORS.NS,Low,27.8531
TATAMOTORS.NS,Open,25.7741
TATAMOTORS.NS,Volume,3493449.0434
NBCC.NS,Close,7.302
NBCC.NS,High,6.3464
NBCC.NS,Low,7.2122
NBCC.NS,Open,5.9381
NBCC.NS,Volume,16262025.0495
TSLA,Close,50.5726
TSLA,High,53.1634
TSLA,Low,50.2885
TSLA,Open,53.384
TSLA,Volume,67841056.9924
